type,jan_regis,feb_regis,mar_regis,apr_regis,total_regis,jan_m,feb_m,mar_m,apr_m,total_m
การผลิตผลิตภัณฑ์พลอยได้จากสัตว์และสัตว์ปีก,0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์อื่น ๆ จากเนื้อสัตว์และเนื้อสัตว์ปีกซึ่งมิได้จัด ประเภทไว้ในที่อื่น,0,2,2,4,8,0,2,2,7.2,11.2
การแปรรูปและการถนอมปลา สัตว์น้ำจำพวกครัสตาเซียและ โมลลุสก์,0,0,0,0,0,0,0,0,0,0
การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสดแช่เย็นหรือแช่แข็ง,0,0,0,0,0,0,0,0,0,0
การผลิตปลาและผลิตภัณฑ์จากปลาสดแช่เย็น หรือแช่แข็ง,0,1,3,2,6,0,1,8,2.1,11.1
การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,0,0,1,0,1,0,0,0.05,0,0.05
การผลิตปลาบรรจุกระป๋อง,0,0,0,0,0,0,0,0,0,0
การผลิตสัตว์น้ำ (ยกเว้นปลา) บรรจุกระป๋อง,0,0,0,0,0,0,0,0,0,0
การแปรรูปและการถนอมสัตว์น้ำอื่นๆ,0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์สัตว์น้ำด้วยการอบแห้ง การรมควัน การทำเค็ม การหมักในน้ำเกลือ หรือน้ำส้มสายชู,0,0,0,0,0,0,0,0,0,0
การผลิตไส้กรอกลูกชิ้นและผลิตภัณฑ์อื่นที่คล้ายกันที่ทำจาก สัตว์น้ำ,1,0,1,0,2,1,0,1,0,2
การผลิตน้ำปลาและผลิตภัณฑ์สัตว์น้ำที่ได้จากการหมัก,2,0,1,1,4,2,0,3,1,6
การผลิตปลาป่นสำหรับใช้เป็นอาหารสัตว์,1,0,0,0,1,3,0,0,0,3
การแปรรูปสาหร่าย,1,0,1,1,3,2,0,1,1,4
การผลิตผลิตภัณฑ์อื่น ๆ จากสัตว์น้ำซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,1,0,1,0,0,1,0,1
การแปรรูปและการถนอมผลไม้และผัก,0,0,0,0,0,0,0,0,0,0
การผลิตผลไม้และผักแช่แข็ง,1,0,1,5,7,1,0,5,6,12
การผลิตผลไม้และผักบรรจุกระป๋อง,1,0,0,1,2,0.5,0,0,1,1.5
การผลิตน้ำผลไม้และน้ำผัก,2,4,5,1,12,6,4,12,1,23
การถนอมผลไม้หรือผักโดยการทำเค็มการอบแห้งการแช่ ในน้ำมันหรือในน้ำส้มสายชู,0,2,3,0,5,0,5.5,2.5,0,8
การผลิตแยมแยมผิวส้มและเยลลี,0,0,0,0,0,0,0,0,0,0
การแปรรูปและการถนอมมันฝรั่ง,0,0,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์จากถั่วเปลือกแข็ง,0,0,0,0,0,0,0,0,0,0
การแปรรูปและการถนอมผลไม้และผักด้วยวิธีอื่นๆซึ่งมิได้ จัดประเภทไว้ในที่อื่น,9,6,6,8,29,16.6,9,27,7.201,59.801
การผลิตน้ำมันและไขมันจากพืชและสัตว์,0,0,0,0,0,0,0,0,0,0
การผลิตน้ำมันถั่วเหลือง,0,0,0,0,0,0,0,0,0,0
การผลิตน้ำมันรำข้าว,0,0,0,0,0,0,0,0,0,0
การผลิตน้ำมันข้าวโพด,0,0,0,0,0,0,0,0,0,0
