province,month,objective,p_esta,m_esta
นนทบุรี,มีนาคม,บริการ,211,348.95
นนทบุรี,เมษายน,ขายส่ง/ขายปลีก,123,154.12
นนทบุรี,เมษายน,ผลิต,22,35.8
นนทบุรี,เมษายน,บริการ,188,284.385
นนทบุรี,พฤษภาคม,ขายส่ง/ขายปลีก,130,193.15
นนทบุรี,พฤษภาคม,ผลิต,28,184.575
นนทบุรี,พฤษภาคม,บริการ,195,270.1201
นนทบุรี,มิถุนายน,ขายส่ง/ขายปลีก,126,193.97
นนทบุรี,มิถุนายน,ผลิต,35,367.1
นนทบุรี,มิถุนายน,บริการ,205,360.448
นนทบุรี,กรกฎาคม,ขายส่ง/ขายปลีก,167,253.205
นนทบุรี,กรกฎาคม,ผลิต,24,45.5
นนทบุรี,กรกฎาคม,บริการ,230,452.164
นนทบุรี,สิงหาคม,ขายส่ง/ขายปลีก,158,256.17
นนทบุรี,สิงหาคม,ผลิต,30,44.105
นนทบุรี,สิงหาคม,บริการ,246,346.93
นนทบุรี,กันยายน,ขายส่ง/ขายปลีก,194,272.36
นนทบุรี,กันยายน,ผลิต,39,60.95
นนทบุรี,กันยายน,บริการ,213,300.045005
นนทบุรี,ตุลาคม,ขายส่ง/ขายปลีก,164,353.565
นนทบุรี,ตุลาคม,ผลิต,28,43.2
นนทบุรี,ตุลาคม,บริการ,216,327.025
นนทบุรี,พฤศจิกายน,ขายส่ง/ขายปลีก,102,169.53
นนทบุรี,พฤศจิกายน,ผลิต,16,22.6
นนทบุรี,พฤศจิกายน,บริการ,142,163.63
นนทบุรี,ธันวาคม,ขายส่ง/ขายปลีก,80,91.5201
นนทบุรี,ธันวาคม,ผลิต,13,49.25
นนทบุรี,ธันวาคม,บริการ,95,122.479999
ปทุมธานี,มกราคม,ขายส่ง/ขายปลีก,144,707.43
ปทุมธานี,มกราคม,ผลิต,51,96.61
ปทุมธานี,มกราคม,บริการ,197,279.201
ปทุมธานี,กุมภาพันธ์,ขายส่ง/ขายปลีก,130,185.505
ปทุมธานี,กุมภาพันธ์,ผลิต,40,70.4
ปทุมธานี,กุมภาพันธ์,บริการ,204,364.463
ปทุมธานี,มีนาคม,ขายส่ง/ขายปลีก,136,215.82
ปทุมธานี,มีนาคม,ผลิต,37,54.3
ปทุมธานี,มีนาคม,บริการ,177,222.984
ปทุมธานี,เมษายน,ขายส่ง/ขายปลีก,122,184.155
ปทุมธานี,เมษายน,ผลิต,29,59.5
ปทุมธานี,เมษายน,บริการ,155,216.595
ปทุมธานี,พฤษภาคม,ขายส่ง/ขายปลีก,138,213.482
ปทุมธานี,พฤษภาคม,ผลิต,27,44.5
ปทุมธานี,พฤษภาคม,บริการ,161,282.31
ปทุมธานี,มิถุนายน,ขายส่ง/ขายปลีก,115,170.13
ปทุมธานี,มิถุนายน,ผลิต,40,136.7
ปทุมธานี,มิถุนายน,บริการ,141,186.33
ปทุมธานี,กรกฎาคม,ขายส่ง/ขายปลีก,158,201.38
ปทุมธานี,กรกฎาคม,ผลิต,35,69.3
ปทุมธานี,กรกฎาคม,บริการ,172,1548.164
ปทุมธานี,สิงหาคม,ขายส่ง/ขายปลีก,130,186.91
ปทุมธานี,สิงหาคม,ผลิต,39,75.87
ปทุมธานี,สิงหาคม,บริการ,186,400.8199
ปทุมธานี,กันยายน,ขายส่ง/ขายปลีก,156,232.58
ปทุมธานี,กันยายน,ผลิต,38,69.0
ปทุมธานี,กันยายน,บริการ,201,307.395
ปทุมธานี,ตุลาคม,ขายส่ง/ขายปลีก,132,187.981
ปทุมธานี,ตุลาคม,ผลิต,29,59.0
ปทุมธานี,ตุลาคม,บริการ,171,265.41
ปทุมธานี,พฤศจิกายน,ขายส่ง/ขายปลีก,111,172.48
ปทุมธานี,พฤศจิกายน,ผลิต,27,100.0
ปทุมธานี,พฤศจิกายน,บริการ,122,191.761
ปทุมธานี,ธันวาคม,ขายส่ง/ขายปลีก,81,142.311
ปทุมธานี,ธันวาคม,ผลิต,14,23.6
ปทุมธานี,ธันวาคม,บริการ,94,259.11
พระนครศรีอยุธยา,มกราคม,ขายส่ง/ขายปลีก,45,61.11
พระนครศรีอยุธยา,มกราคม,ผลิต,12,119.1
พระนครศรีอยุธยา,มกราคม,บริการ,45,54.7
พระนครศรีอยุธยา,กุมภาพันธ์,ขายส่ง/ขายปลีก,31,45.21
พระนครศรีอยุธยา,กุมภาพันธ์,ผลิต,13,31.0
พระนครศรีอยุธยา,กุมภาพันธ์,บริการ,50,68.4
พระนครศรีอยุธยา,มีนาคม,ขายส่ง/ขายปลีก,26,43.6
พระนครศรีอยุธยา,มีนาคม,ผลิต,16,254.5
พระนครศรีอยุธยา,มีนาคม,บริการ,37,72.7
พระนครศรีอยุธยา,เมษายน,ขายส่ง/ขายปลีก,21,22.6
