type,p_s,p_m,p_l,p_total,m_s,m_m,m_l,m_total
การผลิตผลิตภัณฑ์อื่น ๆ ที่ได้จากการกลั่นปิโตรเลียมซึ่งมิได้ จัดประเภทไว้ในที่อื่น,170,41,30,241,9091.6,3231.05,100104.695,112427.345
การผลิตเคมีภัณฑ์และผลิตภัณฑ์เคมี,0,0,0,0,0,0,0,0
การผลิตเคมีภัณฑ์ขั้นมูลฐานปุ๋ยเคมีและสารประกอบไนโตรเจน พลาสติกและยางสังเคราะห์ขั้นต้น,0,0,0,0,0,0,0,0
การผลิตเคมีภัณฑ์ขั้นมูลฐาน,0,0,0,0,0,0,0,0
การผลิตก๊าซที่ใช้ในงานอุตสาหกรรม,59,11,17,87,1407.6602,725,7782.0675,9914.7277
การผลิตสีย้อมผ้าและสีผง,44,13,6,63,653.16,795.3,2335.86108,3784.32108
การผลิตเคมีภัณฑ์อนินทรีย์ขั้นมูลฐานอื่น ๆ,231,42,51,324,3311.05,15428.2764,75475.91875,94215.24515
การผลิตแอลกอฮอล์และเอสเตอร์,20,6,11,37,57.124,1102,10904.5,12063.624
การผลิตเคมีภัณฑ์อินทรีย์ขั้นมูลฐานอื่น ๆ,293,31,17,341,13894.95425,3319.87,4913.771,22128.59525
การผลิตปุ๋ยเคมีและปุ๋ยที่มีธาตุไนโตรเจนเป็นสารประกอบ,0,0,0,0,0,0,0,0
การผลิตปุ๋ยเคมี,876,53,21,950,5435.0302,5033.25,5542.946354,16011.22655
การผลิตสารประกอบไนโตรเจน,14,0,1,15,119.36,0,360,479.36
การผลิตพลาสติกและยางสังเคราะห์ขั้นต้น,0,0,0,0,0,0,0,0
การผลิตเม็ดพลาสติกและพลาสติกขั้นต้น,601,66,55,722,4989.7159,4911.789063,121223.6015,131125.1064
การผลิตยางสังเคราะห์ขั้นต้น,29,3,8,40,139.42,401,10331.43204,10871.85204
การผลิตผลิตภัณฑ์เคมีชนิดอื่นๆ,0,0,0,0,0,0,0,0
การผลิตยาปราบศัตรูพืชและเคมีภัณฑ์อื่นๆเพื่อการเกษตร,205,21,15,241,722.649999,2466.1455,2451.372,5640.167499
การผลิตสีน้ำมันชักเงาและสารเคลือบประเภทเดียวกัน หมึกพิมพ์และน้ำมันทาไม้,0,0,0,0,0,0,0,0
การผลิตสีน้ำมันชักเงาและสารเคลือบประเภทเดียวกันและ น้ำมันทาไม้,286,66,24,376,2062.708,2988.94,11189.19601,16240.84401
การผลิตหมึกพิมพ์และผงหมึก,66,9,5,80,397.54,447.335,1694.851,2539.726
การผลิตสบู่และสารซักฟอกผลิตภัณฑ์ทำความสะอาดและ ขัดเงาน้ำหอมและผลิตภัณฑ์ในห้องน้ำ,0,0,0,0,0,0,0,0
การผลิตสบู่และสารซักฟอกผลิตภัณฑ์ที่ใช้ในการทำความสะอาด และขัดเงา,624,27,18,669,22492.2003,625.2,14542.265,37659.6653
การผลิตเครื่องหอม เครื่องสำอาง และผลิตภัณฑ์ในห้องน้ำ,3854,73,39,3966,13564.36457,3259.770354,7657.813,24481.94793
การผลิตผลิตภัณฑ์ที่เกี่ยวกับระเบิด,17,1,0,18,47.3,90,0,137.3
การผลิตกาวและเจลาติน,105,17,9,131,1331.59,1940.5375,1882.09694,5154.22444
การผลิตน้ำมันหอมระเหย,79,1,0,80,366.45,6.5,0,372.95
การผลิตเคมีภัณฑ์ที่ใช้ในการถ่ายรูป,5,0,0,5,22,0,0,22
การผลิตผลิตภัณฑ์เคมีอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,619,68,45,732,25318.47585,7154.0862,26786.20763,59258.76968
การผลิตเส้นใยประดิษฐ์,70,24,16,110,5571,6714.57256,15062.0353,27347.60786
การผลิตเภสัชภัณฑ์และเคมีภัณฑ์ที่ใช้รักษาโรค,729,81,47,857,7301.0456,5563.3433,17332.92223,30197.31113
การผลิตผลิตภัณฑ์จากพืชและสัตว์ที่ใช้รักษาโรค,1203,28,12,1243,6120.432184,1600,1614.77638,9335.208564
การผลิตผลิตภัณฑ์ยางและพลาสติก,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์ยาง,0,0,0,0,0,0,0,0
การผลิตยางล้อและยางในรวมถึงการหล่อดอกยางและการซ่อม สร้างยางล้อ,0,0,0,0,0,0,0,0
การผลิตยางล้อและยางใน,74,13,31,118,3639.96,921.4,94404.16813,98965.52813
การหล่อดอกยางและการซ่อมสร้างยางล้อ,48,4,2,54,159.69,96,880,1135.69
การผลิตผลิตภัณฑ์ยางชนิดอื่นๆ,2,0,0,2,3,0,0,3
การผลิตยางแผ่นและยางแท่ง,109,23,45,177,2483.8637,1589.35,25796.86922,29870.08292
การผลิตน้ำยางข้น,41,11,27,79,811.7322,851.6163,4550.934785,6214.283285
การผลิตสิ่งของเครื่องใช้ด้านสุขอนามัยหรือเภสัชกรรมที่ทำ จากยาง,160,10,17,187,7757.87,2457.429502,6226.39,16441.6895
การผลิตผลิตภัณฑ์ยางอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,626,79,39,744,10979.80464,9922.046656,11998.53488,32900.38618
การผลิตผลิตภัณฑ์พลาสติก,2,0,0,2,4,0,0,4
การผลิตผลิตภัณฑ์ที่ใช้ในการก่อสร้าง/ประกอบอาคารที่ทำจากพลาสติก,152,22,6,180,3558.2616,1273.3957,649.5,5481.1573
การผลิตบรรจุภัณฑ์พลาสติก,1571,230,123,1924,18504.18695,15435.81057,29521.54461,63461.54213
การผลิตผลิตภัณฑ์พลาสติกสำเร็จรูป,437,61,34,532,7942.0026,5572.146,31836.30427,45350.45287
การผลิตผลิตภัณฑ์พลาสติกอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0
การผลิตเครื่องใช้บนโต๊ะอาหารในครัวและในห้องน้ำที่ทำจากพลาสติก,51,19,2,72,368,1061.29469,310,1739.29469
การผลิตผลิตภัณฑ์ไฟเบอร์กลาส,192,9,6,207,1148.35,196,1855.56248,3199.91248
การผลิตผลิตภัณฑ์พลาสติกอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,2110,361,150,2621,29439.40144,31630.38092,62436.81368,123506.596
การผลิตแก้ว/กระจกแผ่น,149,18,9,176,2558.4538,1904.650045,6000.914,10464.01785
การผลิตภาชนะบรรจุภัณฑ์และเครื่องใช้บนโต๊ะอาหารที่ทำจากแก้ว,30,4,11,45,562,141,18209.6267,18912.6267
การผลิตไฟเบอร์กลาส,23,4,3,30,931.75,91,2181.58,3204.33
การผลิตผลิตภัณฑ์แก้วอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,51,6,5,62,2996.385,1012.51,7762.3,11771.195
การผลิตผลิตภัณฑ์วัสดุทนไฟ,25,1,1,27,281.7,38,300,619.7
การผลิตวัสดุก่อสร้างที่วัตถุดิบหลักทำจากดิน,0,0,0,0,0,0,0,0
การผลิตอิฐ,155,5,1,161,783.7438,200,520.7833195,1504.52712
การผลิตกระเบื้องปูพื้นและแผ่นเซรามิก,46,8,8,62,1263,1427.2,5637.369491,8327.569491
การผลิตเครื่องสุขภัณฑ์เซรามิก,49,8,8,65,1107.5298,1529.45,7898.7,10535.6798
การผลิตวัสดุที่ใช้ในการก่อสร้างอื่น ๆ ที่ทำจากดินเหนียวซึ่งมิได้ จัดประเภทไว้ในที่อื่น,33,1,0,34,257.299,12,0,269.299
การผลิตผลิตภัณฑ์เซรามิกที่เป็นเครื่องใช้บนโต๊ะอาหาร,43,7,5,55,529.27,1065.912763,3139.97,4735.152763
การผลิตผลิตภัณฑ์ประติมากรรมและของตกแต่งที่ทำจากเซรามิก,210,2,1,213,600.465,65,168,833.465
การผลิตลูกถ้วยฉนวนไฟฟ้าและอุปกรณ์ประกอบลูกถ้วยฉนวนไฟฟ้าที่ทำจากเซรามิก,19,9,2,30,1255,261,900,2416
การผลิตผลิตภัณฑ์เครื่องเคลือบปอร์ซเลนและเซรามิกชนิดอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,102,7,1,110,1130.64,750,200,2080.64
การผลิตปูนซีเมนต์,69,6,8,83,1297.25,133,11666.29006,13096.54006
การผลิตปูนไลม์ (ปูนขาว) และปูนปลาสเตอร์,45,10,1,56,286.135,526.3775,405,1217.5125
การผลิตผลิตภัณฑ์คอนกรีตปูนซีเมนต์และปูนปลาสเตอร์,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์คอนกรีตเพื่อใช้ในงานก่อสร้าง,1194,149,33,1376,10772.3457,10755.77,40580.00065,62108.11635
การผลิตผลิตภัณฑ์ปูนปลาสเตอร์ที่ใช้ในงานก่อสร้าง,35,1,3,39,453.28,30,10690.00787,11173.28787
การผลิตคอนกรีตผสมเสร็จ,855,66,18,939,4213.513369,2701.61,18635.00755,25550.13091
การผลิตผลิตภัณฑ์ไฟเบอร์ซีเมนต์,100,5,4,109,452.5,2415,4200.0331,7067.5331
การผลิตผลิตภัณฑ์อื่น ๆ ที่ทำจากคอนกรีตซีเมนต์และ ปูนปลาสเตอร์ซึ่งมิได้จัดประเภทไว้ในที่อื่น,140,7,4,151,1806.05374,395,3055,5256.05374
การตัดการขึ้นรูปและการแต่งสำเร็จหิน,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์หินที่ใช้ในการก่อสร้าง,116,22,2,140,1866.546,1616.86,80,3563.406
การผลิตผลิตภัณฑ์อื่น ๆ ที่ทำจากหินซึ่งมิได้จัดประเภทไว้ในที่อื่น,67,6,3,76,798.8,418.18,2048.75,3265.73
การผลิตผลิตภัณฑ์ขัดถู,38,6,0,44,124.2,1052,0,1176.2
การผลิตวัสดุที่เป็นฉนวนจากแร่,47,7,3,57,680.1,72,905,1657.1
การผลิตผลิตภัณฑ์อื่นๆที่ทำจากแร่อโลหะซึ่งมิได้จัดประเภทไว้ในที่อื่น,43,11,0,54,860.4,848,0,1708.4
การผลิตเหล็กและเหล็กกล้าขั้นมูลฐาน,0,0,0,0,0,0,0,0
การผลิตเหล็กและเหล็กกล้าขั้นมูลฐานขั้นต้นและขั้นกลาง,181,26,18,225,12088.78564,5879,10636.123,28603.90864
การผลิตเหล็กและเหล็กกล้าแผ่น,109,13,14,136,2618.55,640.1,34466.8033,37725.4533
การผลิตหลอดท่อฮอลโลว์โฟรไฟล์และอุปกรณ์ติดตั้งที่เกี่ยวข้องที่ทำจากเหล็กกล้า,58,11,9,78,1115.1,1229.5,3537.3993,5881.9993
การผลิตเหล็กและเหล็กกล้าขั้นมูลฐานอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,842,91,94,1027,36966.20128,14672.1482,1134251.137,1185889.487
การผลิตโลหะมีค่าและโลหะอื่นที่ไม่ไช่เหล็กขั้นมูลฐาน,0,0,0,0,0,0,0,0
การผลิตโลหะมีค่า,68,2,3,73,517.55,153,500,1170.55
การผลิตอะลูมิเนียมและผลิตภัณฑ์อะลูมิเนียม,241,39,50,330,5336.789,2256.881,64222.48809,71816.15809
การผลิตสังกะสีตะกั่วดีบุกและผลิตภัณฑ์ของของดังกล่าว,20,7,9,36,639.65,591.38,2515,3746.03
การผลิตทองแดงและผลิตภัณฑ์ทองแดง,54,18,21,93,2311.399,1907.3,10245.33,14464.029
การผลิตโลหะสามัญและผลิตภัณฑ์โลหะสามัญอื่น ๆ ที่มิใช่เหล็ก,138,12,12,162,1898.525,2178.5,2200,6277.025
การหล่อโลหะ,0,0,0,0,0,0,0,0
การหล่อเหล็กและเหล็กกล้า,1,0,0,1,1,0,0,1
การหล่อเหล็ก,134,30,6,170,3410.9936,2811.1,2437.2,8659.2936
การหล่อเหล็กกล้า,22,3,1,26,56,121,343,520
การหล่อโลหะที่ไม่ใช่เหล็กและเหล็กกล้า,234,18,4,256,2152.64,1942,1145,5239.64
การผลิตผลิตภัณฑ์ที่มีโครงสร้างเป็นโลหะ ถังน้ำขนาดใหญ่ที่เก็บกักน้ำและเครื่องกำเนิดไอน้ำ,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์ที่มีโครงสร้างเป็นโลหะ,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์ที่มีโครงสร้างเป็นโลหะสำหรับใช้ในงานก่อสร้าง,473,25,11,509,2393.835,4728.875325,1699.4225,8822.132825
การผลิตโลหะที่เป็นโครงสร้างของการก่อสร้างอาคาร,196,18,3,217,1394,1385,318,3097
การผลิตประตู หน้าต่าง กรอบประตู หน้าต่าง ประตูใหญ่ และ ผลิตภัณฑ์ที่คล้ายกันที่ทำจากโลหะ,500,26,4,530,2983.49,1427.445,3469.62,7880.555
การผลิตผลิตภัณฑ์อื่นๆ ที่มีโครงสร้างเป็นโลหะ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,483,34,10,527,4149.31,2765.38874,2830.25,9744.94874
การผลิตถังน้ำขนาดใหญ่(ที่มีความจุเกิน 300 ลิตร) ที่เก็บกักน้ำและภาชนะบรรจุที่ทำ จากโลหะ,0,0,0,0,0,0,0,0
การผลิตหม้อน้ำสำหรับการทำความร้อนจากส่วนกลางและเครื่องระบายความร้อน,19,3,0,22,298.22484,690,0,988.22484
การผลิตภาชนะบรรจุสิ่งของที่ทำจากโลหะ เพื่อเก็บก๊าซอัดหรือ ก๊าซเหลว,37,5,3,45,690.05,254.025,928.133983,1872.208983
การผลิตถังน้ำขนาดใหญ่ (ที่มีความจุเกิน 300 ลิตร) ที่เก็บกักน้ำและภาชนะบรรจุที่ทำ จากโลหะ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,110,13,3,126,633.2,506,543,1682.2
การผลิตเครื่องกำเนิดไอน้ำยกเว้นหม้อต้มน้ำร้อนสำหรับ ทำความร้อนจากส่วนกลาง,23,5,0,28,428.6,102.736,0,531.336
การผลิตกระสุนและวัตถุระเบิด,8,2,0,10,61.4,334.40264,0,395.80264
การผลิตอาวุธหนัก อาวุธปืน รวมถึงอาวุธอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,54,1,1,56,477.0981,100,48,625.0981
การผลิตผลิตภัณฑ์โลหะประดิษฐ์ชนิดอื่นๆ กิจกรรมบริการงาน โลหะ,0,0,0,0,0,0,0,0
การผลิตผลิตภัณฑ์โลหะโดยวิธีการตี การอัด การตอกพิมพ์และ การรีด การผสมโลหะผง,309,53,27,389,3300.5174,4803.43463,20533.0053,28636.95733
การปรับสภาพและการเคลือบโลหะ การกัดกลึงขึ้นรูป,0,0,0,0,0,0,0,0
การตกแต่งและการเคลือบโลหะ,983,64,14,1061,6207.377,4332.967,6922.5,17462.844
การกลึงกัดไสโลหะ,4300,67,3,4370,9455.215772,3065.06,437,12957.27577
การผลิตเครื่องตัด,28,1,0,29,381.9,3,0,384.9
การผลิตกุญแจและบานพับ,50,7,4,61,1146.8,313,1084.1776,2543.9776
การผลิตเครื่องมือที่ใช้งานด้วยมือและเครื่องโลหะทั่วไปซึ่งมิได้จัดประเภทไว้ในที่อื่น,310,17,7,334,6938.5784,1569,6732.6555,15240.2339
การผลิตถัง กระป๋องถังกลมขนาดใหญ่ (ที่มีความจุไม่เกิน 300 ลิตร) และภาชนะบรรจุที่คล้ายกันที่ทำจากโลหะ,0,0,0,0,0,0,0,0
การผลิตถังถังกลมขนาดใหญ่ (ที่มีความจุไม่เกิน 300 ลิตร) และภาชนะบรรจุที่คล้ายกันที่ทำจากโลหะ,43,3,3,49,171.15,229,960,1360.15
การผลิตกระป๋องโลหะและบรรจุภัณฑ์อื่นๆที่ทำจากโลหะซึ่งมิได้จัดประเภทไว้ในที่อื่น,52,10,22,84,1364.23,820.48,11280.3,13465.01
การผลิตของที่ทำจากลวด โซ่ ลวดสปริง สลักเกลียว และ ตะปูควง,0,0,0,0,0,0,0,0
การผลิตลวด เคเบิลและของที่ทำจากลวด,123,20,13,156,1675.6199,831.4,1203.7501,3710.77
การผลิตโซ่ ลวดสปริง สลักเกลียว และตะปูควง,272,43,20,335,4856.286,3378.12934,6857.12,15091.53534
การผลิตผลิตภัณฑ์โลหะประดิษฐ์ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0
การผลิตเครื่องสุขภัณฑ์ที่ทำจากโลหะ,33,1,2,36,554.8073,150,1180,1884.8073
การผลิตเครื่องใช้ในครัวเรือนที่ทำจากโลหะ,213,20,5,238,4955.5802,809,3638.42028,9403.00048
การผลิตตู้นิรภัยและเครื่องใช้สำนักงานที่ทำจากโลหะ (ยกเว้น เฟอร์นิเจอร์),37,6,1,44,548.42,517.6,320.5,1386.52
การผลิตผลิตภัณฑ์โลหะประดิษฐ์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,849,110,55,1014,8424.426899,9561.444905,21315.9079,39301.7797
การผลิตผลิตภัณฑ์คอมพิวเตอร์ อิเล็กทรอนิกส์ และอุปกรณ์ทางทัศนศาสตร์,0,0,0,0,0,0,0,0
การผลิตชิ้นส่วนอุปกรณ์แสดงภาพ,21,0,2,23,950.45,0,1337,2287.45
การผลิตตัวเก็บประจุและตัวต้านทานสำหรับวงจรอิเล็กทรอนิกส์,17,3,4,24,2549.1,554.85,3128,6231.95
การผลิตแผ่นวงจรอิเล็กทรอนิกส์,152,9,31,192,52168.95655,5870.951074,35506.02002,93545.92764
การผลิตอุปกรณ์กึ่งตัวนำและวงจรรวม,98,8,6,112,3495.8426,691.8729,11725.806,15913.5215
การผลิตส่วนประกอบอิเล็กทรอนิกส์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,810,95,114,1019,40057.82592,34242.98655,94889.14449,169189.957
การผลิตคอมพิวเตอร์และ/หรือการประกอบคอมพิวเตอร์,249,8,6,263,4415.28,556,6389.12,11360.4
การผลิตอุปกรณ์จัดเก็บข้อมูล,17,2,1,20,124.3,77.5,1600,1801.8
การผลิตจอคอมพิวเตอร์,4,0,1,5,512,0,4273.55,4785.55
การผลิตอุปกรณ์ต่อพ่วงอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,60,5,10,75,590.1248,745.09,46857.1762,48192.391
การผลิตโทรศัพท์และโทรสารแบบใช้สาย,22,0,1,23,120.5,0,1800,1920.5
การผลิตอุปกรณ์สื่อสารแบบไร้สาย,50,3,2,55,1228.8241,692,426.3,2347.1241
การผลิตอุปกรณ์สื่อสารข้อมูลที่ใช้ในการส่งสัญญาณอิเล็กทรอนิกส์ไปตามสายหรือออกอากาศ,99,6,4,109,7351.1422,2653.35,7239.79935,17244.29155
การผลิตอุปกรณ์สื่อสารอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,85,3,9,97,639.35,168,15323.98,16131.33
การผลิตเครื่องอิเล็กทรอนิกส์สำหรับผู้บริโภค,0,0,0,0,0,0,0,0
การผลิตเครื่องรับโทรทัศน์,20,1,1,22,449.5,5,700,1154.5
การผลิตเครื่องรับวิทยุเครื่องบันทึกและทำสำเนาเสียงและภาพ,25,1,0,26,231.475,182.75,0,414.225
การผลิตไมโครโฟนลำโพงและเครื่องขยายเสียง,108,8,1,117,2000.8,762.1,778.9,3541.8
การผลิตเครื่องใช้อิเล็กทรอนิกส์อื่นๆชนิดใช้ในครัวเรือน ซึ่งมิได้จัดประเภทไว้ในที่อื่น,43,1,2,46,813.68,235,1290,2338.68
การผลิตเครื่องมือที่ใช้ในการวัดการทดสอบการนำร่องและอุปกรณ์การควบคุม (ยกเว้น ในทางอุตสาหกรรม),126,12,4,142,566.02,672.1875,2341.39,3579.5975
การผลิตเครื่องมือใช้ในการวัด การทดสอบ และการควบคุมกระบวนการผลิตในทางอุตสาหกรรม,113,2,0,115,708.4321,175,0,883.4321
การผลิตนาฬิกา,15,6,7,28,103,595,3164.5,3862.5
การผลิตผลิตภัณฑ์อื่นๆที่มีเครื่องนาฬิกาประกอบอยู่,1,0,0,1,1,0,0,1
การผลิตเครื่องฉายรังสี และเครื่องมืออิเล็กทรอนิกส์ทางการแพทย์และทางการบำบัดรักษา,39,1,0,40,695.9,89,0,784.9
การผลิตเลนส์,18,3,8,29,1386.839,462.9,11787.12,13636.859
การผลิตเครื่องมือทางทัศนศาสตร์ (ยกเว้น เลนส์),12,0,0,12,385,0,0,385
การผลิตอุปกรณ์เกี่ยวกับการถ่ายภาพและถ่ายภาพยนตร์,40,1,4,45,289.7,61.5,1895,2246.2
การผลิตสื่อแม่เหล็ก และสื่อเชิงแสง,4,0,0,4,7.6,0,0,7.6
การผลิตอุปกรณ์ไฟฟ้า,0,0,0,0,0,0,0,0
การผลิตมอเตอร์ไฟฟ้าเครื่องกำเนิดไฟฟ้าหม้อแปลงไฟฟ้า และอุปกรณ์ควบคุมและจ่ายไฟฟ้า,0,0,0,0,0,0,0,0
การผลิตมอเตอร์ไฟฟ้าและเครื่องกำเนิดไฟฟ้า,185,18,16,219,6345.32645,2928.34394,21405.30518,30678.97557
การผลิตหม้อแปลงไฟฟ้า,86,21,14,121,1161.94993,762.952,5920.313576,7845.215506
การผลิตอุปกรณ์ควบคุมและจ่ายไฟฟ้า,274,17,11,302,1850.4489,1685.75,15211.8092,18748.0081
การผลิตแบตเตอรี่และหม้อสะสมไฟฟ้า,133,9,10,152,12740.691,238,4527.4917,17506.1827
การผลิตสายไฟฟ้าและอุปกรณ์การเดินสายไฟฟ้า,0,0,0,0,0,0,0,0
การผลิตเคเบิลเส้นใยนำแสง,18,4,2,24,1842.95,163.9,1307.11,3313.96
การผลิตสายไฟฟ้าและเคเบิลสำหรับงานไฟฟ้าและอิเล็กทรอนิกส์ อื่นๆ,161,27,16,204,4715.34,3276.202,9283.14332,17274.68532
การผลิตอุปกรณ์การเดินสายไฟฟ้า,97,17,6,120,1698.512,4356.453544,760.490304,6815.455848
การผลิตหลอดไฟฟ้า,104,12,7,123,1678.875,907.8,4964.954075,7551.629075
การผลิตอุปกรณ์ไฟฟ้าอื่นๆสำหรับให้แสงสว่าง,184,24,11,219,3303.407,3152.730664,2317.040074,8773.177738
การผลิตเครื่องใช้ไฟฟ้าชนิดใช้ในครัวเรือน (ยกเว้นประเภทผลิต ความร้อนด้วยไฟฟ้า),351,40,49,440,26049.991,4313.97638,34941.59138,65305.55876
การผลิตเครื่องใช้ในครัวเรือนประเภทผลิตความร้อนด้วยไฟฟ้า,112,14,10,136,7344.4204,2171,2136.3,11651.7204
การผลิตเครื่องใช้ในครัวเรือนประเภทผลิตความร้อนที่ไม่ต้องใช้ไฟฟ้า,30,4,1,35,140.55,278,20,438.55
การผลิตเครื่องใช้ไฟฟ้าชนิดอื่นๆ,0,0,0,0,0,0,0,0
การผลิตเครื่องจ่ายไฟฟ้าต่อเนื่อง,14,3,0,17,1731.500581,306.3,0,2037.800581
การผลิตอุปกรณ์ให้สัญญาณแบบไฟฟ้า,67,8,2,77,232.1,595.25,300,1127.35
การผลิตอุปกรณ์ไฟฟ้าอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น การผลิตเครื่องจักรและเครื่องมือซึ่งมิได้จัดประเภทไว้ในที่อื่น,690,77,35,802,8337.35,3967.22,7522.307172,19826.87717
การผลิตเครื่องจักรและเครื่องมือ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,1,0,0,1,2,0,0,2
การผลิตเครื่องจักรที่ใช้งานทั่วไป,1,0,0,1,2,0,0,2
การผลิตเครื่องยนต์และเครื่องกังหันยกเว้นเครื่องยนต์ที่ใช้กับอากาศยานยานยนต์และจักรยานยนต์,40,2,4,46,1336,100,553,1989
การผลิตเครื่องสูบของไหล,43,9,2,54,744.16,799,5292.44,6835.6
การผลิตเครื่องสูบ คอมเพรสเซอร์ ก๊อกน้ำและวาล์วอื่นๆ,0,0,0,0,0,0,0,0
การผลิตเครื่องสูบอื่นๆและคอมเพรสเซอร์,55,8,7,70,562.2,1309.5,8265.141,10136.841
การผลิตก๊อกและวาล์วอื่นๆ,59,8,11,78,2288.9,256.75,3812.41,6358.06
การผลิตตลับลูกปืนเกียร์และอุปกรณ์ที่ใช้ขับเคลื่อน,42,6,9,57,1225.86,870.66666,27483.9636,29580.49026
การผลิตเตาอบเตาหลอมและเตาเผา,139,3,0,142,1450.86,35,0,1485.86
การผลิตอุปกรณ์ที่ใช้สำหรับยกและขนย้าย,275,16,6,297,4150.9425,1180.836835,2931.2,8262.979335
การผลิตเครื่องจักรและเครื่องใช้สำนักงาน (ยกเว้นคอมพิวเตอร์ และอุปกรณ์ต่อพ่วง),111,10,8,129,981.59,487.205,5130,6598.795
การผลิตเครื่องมือที่ใช้พลังงานขับเคลื่อน,28,0,2,30,527.824,0,123,650.824
การผลิตเครื่องทำความเย็น,384,61,41,486,2989.716374,7077.77743,22868.05552,32935.54932
การผลิตเครื่องจักรอื่นๆที่ใช้งานทั่วไปซึ่งมิได้จัดประเภทไว้ในที่อื่น,3369,125,32,3526,33833.4725,8565.344726,10847.05891,53245.87614
การผลิตเครื่องจักรที่ใช้ในงานเฉพาะอย่าง,0,0,0,0,0,0,0,0
การผลิตเครื่องจักรที่ใช้ในการเกษตรและการป่าไม้,0,0,0,0,0,0,0,0
การผลิตรถแทรกเตอร์ที่ใช้ในงานเกษตรและงานป่าไม้,35,3,4,42,225.2,52,4660,4937.2
การผลิตเครื่องจักรอื่นๆที่ใช้ในทางการเกษตรและการป่าไม้ (ยกเว้นแทรกเตอร์ที่ใช้ในทางการเกษตรและงานป่าไม้),300,20,6,326,2398.73,1148,537,4083.73
การผลิตเครื่องจักรที่ใช้ในการขึ้นรูปโลหะและเครื่องมือกล,1,0,0,1,2,0,0,2
การผลิตเครื่องจักรที่ใช้ในการขึ้นรูปโลหะ,441,41,8,490,2828.12,2717.4173,2369.15424,7914.69154
การผลิตเครื่องมือกลอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,276,9,5,290,3555.64,812.6,1908,6276.24
การผลิตเครื่องจักรสำหรับงานโลหะกรรม,878,56,13,947,7243.939,5656.989,3357.6584,16258.5864
การผลิตเครื่องจักรสำหรับการทำเหมืองแร่เหมืองหินและ การก่อสร้าง,106,11,7,124,1923.44,1330,4169.237,7422.677
การผลิตเครื่องจักรที่ใช้ในกระบวนการผลิตอาหารเครื่องดื่มและ ยาสูบ,121,5,4,130,451.3,85,503,1039.3
การผลิตเครื่องจักรที่ใช้ในการเตรียมปั่นทอและถักนิตสิ่งทอ,11,0,0,11,23.65,0,0,23.65
การผลิตเครื่องจักรอื่นๆที่ใช้ในการผลิตสิ่งทอเครื่องแต่งกาย และเครื่องหนัง,24,0,2,26,257.9,0,120.4,378.3
การผลิตเครื่องจักรเพื่อใช้ในงานเฉพาะอย่างอื่นๆ,1,0,0,1,1,0,0,1
การผลิตเครื่องจักรเพื่อใช้ในการผลิตกระดาษและกระดาษแข็ง,11,1,0,12,140,116,0,256
การผลิตเครื่องจักรเพื่อใช้งานกับยางหรือพลาสติก,124,7,1,132,1380.6324,312.143,280,1972.7754
การผลิตเครื่องจักรเพื่อใช้งานเฉพาะอย่างอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,1111,67,12,1190,12007.79051,8628.407062,3117.54,23753.73757
การผลิตยานยนต์,0,0,0,0,0,0,0,0
การผลิตเครื่องยนต์สำหรับยานยนต์,33,3,10,46,799.25,1810.5,6267.85,8877.6
การผลิตรถยนต์ส่วนบุคคล,119,2,14,135,5920.673,155,65929.8742,72005.5472
การผลิตรถกระบะ1ตัน,10,0,1,11,10.5,0,8500,8510.5
การผลิตยานยนต์อื่นๆที่ใช้เพื่อการโดยสาร,26,3,2,31,2190.390999,170,1521.7,3882.090999
การผลิตยานยนต์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,185,12,5,202,11644.231,2443.3,3260,17347.531
การผลิตตัวถังยานยนต์,139,10,7,156,2399.102,1194,2250.995653,5844.097653
